,MovieID,Rating,Title,Genres
50,53,4.75,Lamerica (1994),Drama
2113,2503,4.666666666666667,"Apple, The (Sib) (1998)",Drama
2474,2905,4.608695652173913,Sanjuro (1962),Action|Adventure
1668,2019,4.560509554140127,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
293,318,4.554557700942973,The Shawshank Redemption (1994),Drama
716,858,4.524966261808367,The Godfather (1972),Action|Crime|Drama
644,745,4.52054794520548,A Close Shave (1995),Animation|Comedy|Thriller
48,50,4.517106001121705,The Usual Suspects (1995),Crime|Thriller
491,527,4.510416666666667,Schindler's List (1993),Drama|War
950,1148,4.507936507936508,The Wrong Trousers (1993),Animation|Comedy
766,922,4.491489361702127,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
988,1198,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure
748,904,4.476190476190476,Rear Window (1954),Mystery|Thriller
970,1178,4.473913043478261,Paths of Glory (1957),Drama|War
240,260,4.453694416583082,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1002,1212,4.452083333333333,The Third Man (1949),Mystery|Thriller
648,750,4.4498902706656915,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
2834,3338,4.444444444444445,For All Mankind (1989),Documentary
629,720,4.426940639269406,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
997,1207,4.425646551724138,To Kill a Mockingbird (1962),Drama
2914,3435,4.415607985480944,Double Indemnity (1944),Crime|Film-Noir
756,912,4.412822049131217,Casablanca (1942),Drama|Romance|War
600,670,4.410714285714286,"World of Apu, The (Apur Sansar) (1959)",Drama
2342,2762,4.406262708418057,The Sixth Sense (1999),Thriller
2586,3030,4.404651162790698,Yojimbo (1961),Comedy|Drama|Western
598,668,4.404255319148936,Pather Panchali (1955),Drama
994,1204,4.401925391095066,Lawrence of Arabia (1962),Adventure|War
757,913,4.395973154362416,The Maltese Falcon (1941),Film-Noir|Mystery
984,1193,4.390724637681159,One Flew Over the Cuckoo's Nest (1975),Drama
767,923,4.388888888888889,Citizen Kane (1941),Drama
2812,3307,4.387453874538745,City Lights (1931),Comedy|Drama|Romance
1038,1250,4.386993603411514,The Bridge on the River Kwai (1957),Drama|War
752,908,4.38403041825095,North by Northwest (1959),Drama|Thriller
1050,1262,4.376436781609195,The Great Escape (1963),Adventure|War
2579,3022,4.368932038834951,The General (1927),Comedy
1013,1223,4.361522198731501,A Grand Day Out (1992),Animation|Comedy
1011,1221,4.357565011820331,The Godfather: Part II (1974),Action|Crime|Drama
1194,1423,4.357142857142857,Hearts and Minds (1996),Drama
2639,3089,4.357142857142857,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
546,593,4.3518231186966645,The Silence of the Lambs (1991),Drama|Thriller
300,326,4.344262295081967,To Live (Huozhe) (1994),Drama
2680,3134,4.33939393939394,"Grand Illusion (Grande illusion, La) (1937)",Drama|War
1040,1252,4.339240506329114,Chinatown (1974),Film-Noir|Mystery|Thriller
1677,2028,4.337353938937053,Saving Private Ryan (1998),Action|Drama|War
2908,3429,4.335766423357664,Creature Comforts (1990),Animation|Comedy
946,1136,4.335209505941213,Monty Python and the Holy Grail (1974),Comedy
2891,3410,4.333333333333333,Soft Fruit (1999),Comedy|Drama
1055,1267,4.333333333333333,The Manchurian Candidate (1962),Film-Noir|Thriller
119,128,4.333333333333333,Jupiter's Wife (1994),Documentary
1941,2324,4.329861111111111,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
2945,3470,4.326086956521739,Dersu Uzala (1974),Adventure|Drama
943,1131,4.324074074074074,Jean de Florette (1986),Drama
949,1147,4.32129963898917,When We Were Kings (1996),Documentary
2312,2731,4.320855614973262,"400 Blows, The (Les Quatre cents coups) (1959)",Drama
1023,1234,4.320305052430887,The Sting (1973),Comedy|Crime
2430,2858,4.3173862310385065,American Beauty (1999),Comedy|Drama
2172,2571,4.315830115830116,The Matrix (1999),Action|Sci-Fi|Thriller
1072,1284,4.312384473197782,The Big Sleep (1946),Film-Noir|Mystery
1975,2360,4.3076923076923075,"Celebration, The (Festen) (1998)",Drama
1831,2186,4.304979253112033,Strangers on a Train (1951),Film-Noir|Thriller
987,1197,4.3037100949094045,The Princess Bride (1987),Action|Adventure|Comedy|Romance
1022,1233,4.302697302697303,"Boat, The (Das Boot) (1981)",Action|Drama|War
1048,1260,4.3019480519480515,M (1931),Crime|Film-Noir|Thriller
742,898,4.3006872852233675,The Philadelphia Story (1940),Comedy|Romance
754,910,4.300480769230769,Some Like It Hot (1959),Comedy|Crime
2412,2839,4.3,West Beirut (West Beyrouth) (1998),Drama
2497,2931,4.3,Time of the Gypsies (Dom za vesanje) (1989),Drama
797,953,4.299039780521262,It's a Wonderful Life (1946),Drama
993,1203,4.295454545454546,12 Angry Men (1957),Drama
774,930,4.29438202247191,Notorious (1946),Film-Noir|Romance|Thriller
986,1196,4.292976588628763,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1042,1254,4.289183222958058,The Treasure of the Sierra Madre (1948),Adventure
2502,2937,4.288461538461538,The Palm Beach Story (1942),Comedy
965,1172,4.287804878048781,Cinema Paradiso (1988),Comedy|Drama|Romance
1014,1224,4.286384976525822,Henry V (1989),Drama|War
1973,2357,4.283720930232558,Central Station (Central do Brasil) (1998),Drama
2641,3091,4.283687943262412,Kagemusha (1980),Drama|War
743,899,4.2836218375499335,Singin' in the Rain (1952),Musical|Romance
749,905,4.280748663101604,It Happened One Night (1934),Comedy
2944,3469,4.279850746268656,Inherit the Wind (1960),Drama
272,296,4.278212805158913,Pulp Fiction (1994),Crime|Drama
1003,1213,4.275196137598069,GoodFellas (1990),Crime|Drama
3125,3679,4.274193548387097,The Decline of Western Civilization (1981),Documentary
504,541,4.273333333333333,Blade Runner (1982),Film-Noir|Sci-Fi
747,903,4.27292817679558,Vertigo (1958),Mystery|Thriller
1846,2203,4.2703862660944205,Shadow of a Doubt (1943),Film-Noir|Thriller
1594,1945,4.269749518304431,On the Waterfront (1954),Crime|Drama
1007,1217,4.26890756302521,Ran (1985),Drama|War
1060,1272,4.266666666666667,Patton (1970),Drama|War
944,1132,4.259090909090909,Manon of the Spring (Manon des sources) (1986),Drama
337,363,4.258064516129032,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
770,926,4.255583126550868,All About Eve (1950),Drama
